,cols
0,1742-6
1,1751-7
2,17861-6
3,1920-8
4,1975-2
5,2028-9
6,2075-0
7,21000-5
8,2160-0
9,2345-7
10,2708-6
11,2823-3
12,2885-2
13,29463-7
14,2951-2
15,3094-0
16,32207-3
17,32623-1
18,33914-3
19,39156-5
20,4544-3
21,46240-8
22,5905-5
23,59460-6
24,59576-9
25,6075-6
26,6082-2
27,6085-5
28,6095-4
29,6106-9
30,6158-0
31,6189-5
32,6206-7
33,6246-3
34,6248-9
35,6273-7
36,6276-0
37,6690-2
38,6768-6
39,6833-8
40,6844-5
41,704-7
42,706-2
43,711-2
44,713-8
45,718-7
46,72514-3
47,7258-7
48,731-0
49,736-9
50,742-7
51,751-8
52,770-8
53,77606-2
54,777-3
55,785-6
56,786-4
57,787-2
58,788-0
59,789-8
60,8302-2
61,8310-5
62,8462-4
63,8480-6
64,8867-4
65,9279-1
66,9843-4
67,DALY
68,QALY
69,QOLS
