,cols
0,198405
1,199885
2,308192
3,309097
4,312617
5,313782
6,313820
7,562251
8,665078
9,834061
10,895994
11,997488
12,1014676
13,1043400
14,1870230
15,2123111
16,5758002
17,10509002
18,24079001
19,36955009
20,43878008
21,44465007
22,47318007
23,49727002
24,62106007
25,65363002
26,70704007
27,91861009
28,195662009
29,233678006
30,241929008
31,386661006
32,409089005
33,444814009
34,840539006
35,840544004
36,1742-6
37,1751-7
38,17861-6
39,1920-8
40,1975-2
41,2028-9
42,2075-0
43,21000-5
44,2160-0
45,2345-7
46,2708-6
47,2823-3
48,2885-2
49,29463-7
50,2951-2
51,3094-0
52,32207-3
53,32623-1
54,33914-3
55,39156-5
56,4544-3
57,46240-8
58,5905-5
59,59460-6
60,59576-9
61,6075-6
62,6082-2
63,6085-5
64,6095-4
65,6106-9
66,6158-0
67,6189-5
68,6206-7
69,6246-3
70,6248-9
71,6273-7
72,6276-0
73,6690-2
74,6768-6
75,6833-8
76,6844-5
77,704-7
78,706-2
79,711-2
80,713-8
81,718-7
82,72514-3
83,7258-7
84,731-0
85,736-9
86,742-7
87,751-8
88,770-8
89,77606-2
90,777-3
91,785-6
92,786-4
93,787-2
94,788-0
95,789-8
96,8302-2
97,8310-5
98,8462-4
99,8480-6
100,8867-4
101,9279-1
102,9843-4
103,DALY
104,QALY
105,QOLS
